exp_id,job_id,recipe,status,dataset,architecture,dimensionality,sampling_mode,k_input,g_shell,n_context_samples,n_preds,n_params,sec_per_epoch,sec_per_volume,peak_gpu_mem_mb,duration_s
paper_final_k16,restormer_dbrain_npreds_1_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,1,177883,0.049004457394282025,23.501474916934967,2482.6552734375,1461.4491202831268
paper_final_k16,restormer_dbrain_npreds_3_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,3,177883,0.04937726193004184,37.79544553756714,2487.05078125,2319.0501956939697
paper_final_k16,restormer_dbrain_npreds_5_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,5,177883,0.049114196830325654,57.451754196484885,2491.67578125,3498.2647290229797
paper_final_k16,restormer_dbrain_npreds_10_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,0.04915333522690667,106.37646145025889,2503.5126953125,6433.8809466362
paper_final_k16,restormer_dbrain_npreds_15_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,15,177883,0.04981595145331489,154.6112308382988,2515.3427734375,9328.26391530037
paper_final_k16,restormer_dbrain_npreds_20_ablation,n_preds_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,20,177883,0.04890603025754293,202.4322522521019,2525.0302734375,12197.109090566635
paper_final_k16,drcnet_dbrain_sigma_050_ablation,noise_sigma_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,13.510344526502822,33.623823587099714,8010.208984375,6913.716865062714
paper_final_k16,restormer_dbrain_sigma_050_ablation,noise_sigma_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,31.832166488303077,126.4239776690801,11066.98681640625,19079.85503101349
paper_final_k16,drcnet_dbrain_sigma_100_ablation,noise_sigma_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,0.053551261292563546,34.005438975493114,5694.45458984375,2094.1759345531464
paper_final_k16,restormer_dbrain_sigma_100_ablation,noise_sigma_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,0.05421797566943699,126.26990923484166,2508.0302734375,7629.14550948143
paper_final_k16,drcnet_dbrain_sigma_150_ablation,noise_sigma_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,13.328066346380446,33.42454181114832,8010.208984375,6837.52756524086
paper_final_k16,restormer_dbrain_sigma_150_ablation,noise_sigma_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,31.605544192261167,124.43771702845892,11066.98681640625,18879.04689502716
paper_final_k16,drcnet_dbrain_sigma_200_ablation,noise_sigma_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,12,116002,13.353497980700599,33.438576714197794,8010.208984375,6846.865091085434
paper_final_k16,restormer_dbrain_sigma_200_ablation,noise_sigma_sensitivity,success,dbrain,restormer,3d,rgs,16,60,16,12,177883,22.7653798825211,130.5084938645363,9370.86181640625,16080.425290346146
paper_final_k16,drcnet_dbrain_arch_compare_parity_final,architecture_parity,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,0.05153372221522861,29.600749576091765,5694.45458984375,1827.5025889873505
paper_final_k16,restormer_dbrain_arch_compare_parity_final,architecture_parity,success,dbrain,restormer,3d,rgs,16,60,16,10,177883,0.04875275161531237,110.41125006278357,2503.5126953125,6676.534625530243
paper_final_k16,drcnet_dbrain_ncontext24_seed_91031_infer,n_context_stability,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,,29.637188053131105,5694.45458984375,1812.2076981067657
