dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
dbrain,restormer,success,5,5,19.22359484831492,,177883,2491.01318359375,15.45760420230428,14.763419236837429,0.24904675754023461,3523.290791143999
dbrain,restormer,success,12,10,78.57938077847163,,177883,2502.56396484375,15.501397788222558,15.01495147619722,0.24776686895525654,3507.552356597677
dbrain,restormer,success,16,12,122.93343255519866,,177883,2507.55615234375,15.525089407423955,15.134020504420533,0.24915987648429586,3500.790817139644
dbrain,restormer,success,48,20,589.0661360144616,,177883,2527.02294921875,15.48280961297931,15.218829834408858,0.24237025120269537,3502.068055476919
dbrain,drcnet,success,16,12,,,121122,0.0,,,,
dbrain,drcnet,success,16,12,34.28196743329366,15.400998697015975,121122,8061.9658203125,16.63937520183205,16.724507982049445,0.24204664982147245,3477.872869699347
dbrain,restormer,success,16,12,128.76775248050689,33.341521386305494,183003,11068.44677734375,15.034102805563423,18.112664511543176,0.2668645594730496,3481.092774300588
dbrain,drcnet,success,16,12,35.21724730332692,14.842808495627509,116002,8010.208984375,23.822013772538728,26.89962196016751,0.24994404893353134,3457.924809032425
dbrain,restormer,success,16,12,129.86567536989847,33.42387402587467,177883,11066.98681640625,23.004138791501227,23.390489017082068,0.2576570961291455,3437.8460039803817
dbrain,drcnet,success,16,12,35.30284998019536,14.988401916954253,120546,8314.6025390625,25.40328735291839,26.243569928601765,0.24054942048283848,3452.1930031124793
dbrain,restormer,success,16,12,130.28487542470296,33.28290403352843,184699,11097.13427734375,23.60281204983043,22.69356833778042,0.2603486455487831,3423.416735872285
stanford,drcnet,success,16,23,26.77356780211131,25.48615935140186,120546,8314.6025390625,38.27170900627045,36.54726377151966,0.03563082172765766,7.640055228687036e-06
stanford,restormer,success,16,23,85.40712254206339,11.912015165487926,184699,11096.50927734375,25.16586741770029,24.001642211274735,0.07562484029291003,2.6833341354537443e-05
dbrain,drcnet,success,16,12,5.234646836916606,15.199501764112048,115138,7986.19873046875,14.992556232392818,10.872238912742652,0.23277060294929486,3498.5898519065568
dbrain,drcnet,success,16,12,4.5115294297536215,11.236196285486221,103042,7650.03662109375,22.06579208702873,24.468354823084894,0.22338080790153264,3457.451434648306
